X	Y	NKNR	NKNAME
9.091169998	51.86284776	4120060	
9.093805296	51.86431099	4120063	
9.092948283	51.86566439	4120064	
9.096646869	51.86670008	4120065	
9.010442146	51.89744314	4120066	
9.087162836	51.86895033	4120067	
9.094493937	51.86883716	4120068	
9.086666828	51.87796953	4120069	
9.079201764	51.87085465	4120070	
8.999548787	51.80421324	4120071	
9.169339511	51.81058396	4121001	
9.182363193	51.8106837	4121002	
9.190266065	51.80927446	4121003	
9.212377723	51.80694079	4121004	
9.230734821	51.8178827	4121005	
9.22985121	51.81893153	4121006	
9.252455781	51.81392652	4121007	
9.244590247	51.82245542	4121008	
9.279120508	51.82603798	4121009	
9.214975291	51.83078171	4121012	
9.209693638	51.83288231	4121013	
9.176319246	51.83919937	4121015	
9.1753786	51.8396645	4121016	
9.253421894	51.83702697	4121019	
9.286345508	51.8424732	4121021	
9.240275255	51.85429998	4121022	
9.239874139	51.85484884	4121023	
9.219256254	51.86052988	4121024	
9.204873873	51.8580128	4121025	
9.194185598	51.86726004	4121026	
9.171708862	51.86234122	4121027	
9.171196148	51.86329801	4121028	
9.173705369	51.86691485	4121029	
9.275891938	51.86357632	4121030	
9.27761167	51.86494098	4121031	
9.284458732	51.86042765	4121032	
9.320059142	51.85995675	4121033	
9.325078603	51.85554743	4121034	
9.197628989	51.87500857	4121035	
9.187394241	51.88020372	4121036	
9.170514875	51.87853896	4121037	
9.167129078	51.87811899	4121038	
9.166641566	51.88966306	4121039	
9.168154559	51.89243791	4121040	
9.276041506	51.88359457	4121041	
9.279457319	51.88255398	4121042	
9.330508463	51.88240861	4121043	
9.304290119	51.88835197	4121044	
9.307648297	51.88926359	4121045	
9.274621594	51.81039231	4121046	
9.285158621	51.82418187	4121047	
9.313675302	51.87333258	4121048	
9.168239267	51.84413769	4121051	
9.186859253	51.84055561	4121052	
9.312492479	51.8280235	4121055	
9.305822026	51.83312195	4121056	
9.285585295	51.83878818	4121057	
9.245582219	51.83563268	4121058	
9.328630666	51.87754789	4121059	
9.245541778	51.82542772	4121060	
9.367999569	51.80882686	4122003	
9.334823876	51.80610588	4122004	
9.435876393	51.80460913	4122005	
9.438629923	51.8298421	4122007	
9.454797816	51.86087128	4122009	
9.342777529	51.88439129	4122011	
9.345885275	51.89528053	4122012	
9.402419821	51.81512874	4122013	
9.434613979	51.83188655	4122014	
9.437909715	51.82661587	4122015	
9.43969379	51.82952933	4122016	
9.435537161	51.83145976	4122017	
9.438449799	51.83429502	4122018	
6.140934735	51.76721392	4202002	
6.131123454	51.78257939	4202005	
6.13172382	51.79306776	4202007	
6.023865068	51.78289555	4202009	
6.031074688	51.77547984	4202010	
6.004321692	51.79075644	4202011	
6.094177584	51.69975371	4202014	
6.046785679	51.71831463	4202016	
6.043474245	51.71485826	4202018	
6.11600681	51.77140926	4202019	
6.128507425	51.70966127	4202021	
6.132698359	51.76805268	4202022	
6.125842578	51.70338116	4202024	
6.027049012	51.7842441	4202028	
6.074637424	51.79371284	4202029	
6.150029229	51.79479433	4202030	
6.157080819	51.78863599	4202031	
6.154248695	51.78202678	4202032	
6.15499087	51.78014008	4202033	
6.149016071	51.77169056	4202034	
6.067360025	51.70632196	4202036	
6.165693972	51.71796189	4202037	
6.070224643	51.79203811	4202039	
6.005660422	51.79397041	4202040	
6.154902798	51.79057208	4202041	
6.287709976	51.73697561	4203002	
6.262921802	51.74618299	4203003	
6.240297182	51.75190883	4203004	
6.175210301	51.77529221	4203006	
6.231296935	51.70385944	4203007	
6.261931913	51.71981933	4203008	
6.273837152	51.72971983	4203009	
6.328042558	51.74336044	4203010	
6.311097628	51.78457707	4203011	
6.32177245	51.70703154	4203013	
6.219759063	51.72010799	4203014	
6.218230698	51.72128362	4203015	
6.187612006	51.76043391	4203016	
6.170625652	51.77045117	4203017	
6.2297357	51.77985283	4203019	
6.257293073	51.76339651	4203020	
6.230715969	51.7437015	4203021	
6.227494387	51.74476479	4203022	
6.322491564	51.79061296	4203023	
6.331090003	51.7119233	4203029	
6.330272412	51.71357082	4203030	
6.297178285	51.73208846	4203031	
6.329477747	51.70792023	4203033	
6.267526968	51.75546868	4203037	
6.277176842	51.76165743	4203038	
6.186519561	51.76140236	4203040	
6.2480902	51.73842663	4203400	
6.319593153	51.76600888	4203401	
6.454956654	51.77127658	4204001	
6.422478527	51.77558974	4204002	
6.41428793	51.77136383	4204003	
6.390025789	51.76876285	4204005	
6.370668749	51.79759787	4204006	
6.339363107	51.71000211	4204007	
6.334586695	51.74958421	4204008	
6.374311088	51.7475912	4204009	
6.375258563	51.74632885	4204010	
6.406499877	51.78290105	4204014	
6.413703536	51.79313952	4204015	
6.485080979	51.73485798	4204016	
6.384291277	51.71567174	4204017	
6.408916527	51.70534672	4204018	
6.383909187	51.74469385	4204019	
6.350610266	51.72609648	4204020	
6.456550066	51.7724924	4204021	
6.459208541	51.77493116	4204022	
6.477637906	51.76853027	4204023	
6.3396268	51.79169363	4204024	
6.48902456	51.70177305	4204025	
6.462138935	51.73025078	4204026	
6.362391557	51.70553451	4204027	
6.469546711	51.71034624	4204028	
6.346875805	51.72967683	4204029	
6.344080203	51.7290946	4204030	
6.409743722	51.78260872	4204400	
6.590325059	51.74821226	4205001	Hamminkeln
6.499867022	51.73615867	4205003	
6.600298973	51.72911673	4205005	
6.59816126	51.73801691	4205006	
6.524011117	51.79270131	4205007	
6.581798158	51.76716397	4205008	
6.530843962	51.7884809	4205009	
6.519591565	51.74001523	4205010	
6.544800987	51.7446829	4205011	
6.656383162	51.72746333	4205012	
6.612341243	51.77498193	4205013	
6.507510657	51.75831288	4205014	
6.613397871	51.77101886	4205018	
6.633323199	51.76413284	4205019	
6.500712142	51.75811728	4205020	
6.514695887	51.71760082	4205021	
6.583832039	51.79345799	4205025	
6.595037863	51.72027647	4205027	
6.561614613	51.73815078	4205029	
6.593121221	51.73792151	4205030	
6.609721294	51.7874609	4205031	
6.610357213	51.76617568	4205032	
6.684194376	51.75399334	4206005	
6.745386428	51.77229655	4206006	
6.771726097	51.7863253	4206007	
6.818847277	51.76542359	4206008	
6.719683536	51.71525496	4206010	
6.679924423	51.726044	4206011	
6.694360067	51.73246018	4206012	
6.739022409	51.72898396	4206013	
6.728251861	51.73951991	4206014	
6.730588813	51.7422992	4206015	
6.728550112	51.75853185	4206016	
6.697576635	51.77734628	4206018	
6.819587543	51.7382952	4206020	
6.683280543	51.7277073	4206021	
6.696505282	51.75156598	4206024	
6.749137157	51.71663678	4206025	
6.721574992	51.71609773	4206026	
6.708495772	51.72154627	4206027	
6.829249398	51.76708075	4206225	
6.967906941	51.78624157	4207001	
6.916607676	51.77851459	4207002	
6.910193607	51.75613246	4207003	
6.931919309	51.70201941	4207009	
6.865003985	51.74408722	4207013	
6.867653884	51.74822411	4207014	
6.929016669	51.75193597	4207015	
6.925195029	51.70117332	4207024	Schermbeck
6.965577232	51.75553882	4207029	Lembeck
6.999226087	51.76047354	4207031	
6.850018051	51.7663889	4207032	
6.849529338	51.77357918	4207033	
6.84385962	51.78538115	4207034	
6.838406937	51.77188442	4207035	
6.832686129	51.77421107	4207036	
6.964093667	51.75525546	4207037	
7.007966989	51.70201528	4208005	
7.000380925	51.72385108	4208006	
7.014664524	51.72081232	4208007	
7.095165678	51.71533237	4208009	
7.088700509	51.72472049	4208010	
7.101928385	51.72455768	4208011	
7.002591001	51.74984576	4208012	
7.106829603	51.75406824	4208013	
7.022882246	51.78294271	4208014	
7.108035674	51.7732581	4208015	
7.159639313	51.77915437	4208016	
7.16535835	51.77925724	4208017	
6.999258384	51.7673414	4208019	
7.130359266	51.69945546	4208020	
7.122589939	51.71839147	4208021	
7.148147308	51.70549323	4208022	Kreuz Marl-Nord
7.069138957	51.70060387	4208023	
7.149802139	51.73436266	4208026	Haltern
7.041626909	51.72484539	4208027	
7.121846313	51.72736199	4208028	
7.312065498	51.70263733	4209001	
7.306679412	51.71859524	4209002	
7.261514155	51.76986953	4209004	
